Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers,,,,,,,,,,,,,,,,
Extra 10% OFF upto Rs. 20,Get extra 10% off upto Rs. 20 on 50 items (price inclusive of cashback/coupon),,,,,,,,YES,,,,,,,,,,,,,,,,
Extra 3% OFF upto Rs. 30,Get extra 3% off upto Rs. 30 on 50 items (price inclusive of cashback/coupon),,,,,,,,YES,,,,,,,,,,,,,,,,
