Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Spark5 Credit Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Spark 10 Credit Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Spark 10 Mastercard Credit Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Spark20 Credit Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Spark 20 Visa Credit Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,DBS Vantage Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 5 X Super Card,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 10X Signature SuperCard,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 10X Plus Signature SuperCard,,,,
Flat Rs.75 off,Applicable only on transactions using DBS Bank Credit Cards. Maximum Discount is Rs.75. Total value of items must be Rs.750 or more. Offer can be availed once during the offer period (Nov 01 - Nov 30). This coupon is not applicable on Gold & Silver coins Milk Tobacco Cigarettes and Baby needs. Other T&Cs may apply.,DBSCC75,Bajaj Finserv DBS Bank 7X Rewards Supercard,,,,
