Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Axis Bank Flipkart Debit Card / UPI ? 5% cashback on Flipkart (Electronics & Mobiles),"5% cashback on all Flipkart spends when you pay using Axis Bank Flipkart Debit Card or via UPI linked to Axis Advantage Savings Account. Conditions: minimum cumulative Flipkart spends ?3500 per month; maximum cashback ?750 per month; cashback credited within 90 days.
Valid till: 2013-09-17",https://www.axis.bank.in/images/default-source/flipkart-debit-card/webp/flipkart-debit-card-desktop-1366x400-px-copy.webp,https://www.axisbank.com/retail/cards/debit-cards/flipkart-debit-card,,Axis Bank Flipkart Debit Card,,,
Flipkart Axis Bank Credit Card ? 5% cashback on Flipkart (Electronics & Mobiles),"Earn 5% cashback on Flipkart purchases (Electronics & Mobiles included). Cashback capped at ?4000 per statement quarter per merchant (Flipkart). Cashback is credited to the credit card statement. EMI conversion available on transactions over ?2500.
Valid till: 2026-12-20",https://rukminim1.flixcart.com/www/60/60/promos/14/06/2024/88011666-ce1d-40f0-a8eb-1bac7d164885.png?q=60,https://www.axisbank.com/retail/cards/credit-card/flipkart-axisbank-credit-card,Flipkart Axis Bank Credit Card,,,,
Flipkart SBI Credit Card ? 5% cashback on Flipkart (Electronics & Mobiles),"Get 5% cashback on Flipkart (including Electronics & Mobiles) with the Flipkart SBI Credit Card capped at ?4000 per quarter. Additional partner benefits may apply per card T&Cs.
Valid till: 2025-08-25",https://stories-admin.wasd.in/uploads/SBI_Credit_card_Infographic_1_scaled_a54063dcc6.jpg,https://stories.flipkart.com/flipkart-sbi-credit-card-2025,Flipkart SBI Credit Card,,,,
