Offer,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,CMA One Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Indian Navy Varunah Premium Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Eterna Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,ICSI Diamond Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Assam Rifles The Sentinel Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,ICAI Exclusive Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Indian Army Yoddha Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Swavlamban Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Unnati Bobcard,,,,
Bank of Baroda Credit Card Offer,"Upto 7.5% Instant Discount with BOBCARD transactions as below:



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 01st Jan 2026 (00:00:01) to 31st Mar 2026 (23:59:59) (Offer Period).

 Offer valid only once per card per month during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer  In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility",https://www.reliancedigital.in/page/bob-offer-card-tc-jun-2025,Indian Coast Guard Rakshamah Bank of Baroda,,,,
