Offer,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Infinia Credit Card Metal Edition,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Shoppers Stop HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Harley-Davidson Diners Club Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Marriott Bonvoy HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,6E Rewards XL IndiGo HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,6E Rewards Indigo HDFC Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank MoneyBack Plus RuPay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Moneyback Plus Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Easy EMI Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Business Regalia First Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Intermiles HDFC Bank Platinum Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Pixel Go Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Pixel Go Rupay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Business Gold Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Biz First Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank World Mastercard Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,InterMiles HDFC Bank Signature Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,CSC Small Business MoneyBack Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Titanium Times Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Platinum Times Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Biz Grow Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC All Miles Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Moneyback Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Biz Grow Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank UPI RuPay Biz Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank UPI RuPay Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Biz Power Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Bank Biz Power Visa Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,HDFC Diners Club Privilege Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Accelero ICICI Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Adani One ICICI Platinum Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Adani One ICICI Signature Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Amazon Pay ICICI Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Chennai Super Kings ICICI Bank Credit Card.,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Emirates Skywards ICICI Bank Emerald Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Emirates Skywards Rubyx Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Coral Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Emeralde Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Expressions Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank HPCL Super Saver Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Instant Platinum Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Manchester United Signature Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Platinum Chip Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Rubyx Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Sapphiro Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Bank Times Black Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI HPCL Coral Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Manchester United Platinum Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Parakram Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,ICICI Parakram Select Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Makemytrip ICICI Bank Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,Makemytrip ICICI Bank Platinum Credit Card,,,,
"TV Offer: 7.5% Instant Bank Discount up to ?4,000 on HDFC/ICICI/AXIS/SBI Credit Cards (selected TVs)","Selected TV offer: 7.5% instant bank discount up to ?4,000 on HDFC/ICICI/Axis/SBI credit cards (Non-EMI). Valid 01 Feb 2026 to 31 Mar 2026. Max discount up to ?10,000 (overall cap as per T&C). Offer cannot be clubbed with other cashback/discount offers; customer must choose the offer at payment page.",https://www.reliancedigital.in/page/ibd-offer-on-tv-tc-2602,MakeMyTrip ICICI Bank Signature Credit Card,,,,
