Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Sale5,Get 5% off on cart value of INR 1099and above,,,,,,,YES
Accessorease5,Get 5% off on cart value of INR 1500 and above,,,,,,,YES
Sale10,Get 10% off on cart value of INR 2199 and above,,,,,,,YES
Trywatches,Get 10% off on cart value of INR 2500 and above,,,,,,,YES
DIAL,Get 10% off on cart value of INR 2500 and above,,,,,,,YES
New30,Get flat 30% off upto INR 500,,,,,,,YES
