Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Pixel Go Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HDFC Pixel Play Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,HPCL Energie Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICAI Exclusive Bobcard (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICICI Bank HPCL Super Saver Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICICI Bank Sapphiro Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,ICSI Diamond Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IDFC First Earn RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IDFC First Power Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Army Yoddha Bobcard (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Coast Guard Rakshamah Bank of Baroda (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Navy Varunah Premium Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indian Overseas Bank Classic Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IndianOil Axis Bank Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indianoil Kotak Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indianoil RBL Bank Xtra Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IndusInd Bank Platinum RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Indusind Samman RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IRCTC Bobcard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IRCTC RBL Bank Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IRCTC SBI Card Premier (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,IRCTC SBI Card Rupay (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Ixigo AU Travel Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Karnataka Bank Simplysave SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Kotak League Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Kotak Mojo Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Miles Elite SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Myntra Kotak Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Paytm SBI Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB EMT Rupay Platinum Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB Patanjali Rupay Platinum Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB Patanjali Rupay Select Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB Rakshak Rupay Platinum Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB Rupay Millennial Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB RuPay Platinum Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PNB Rupay Select Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PSB SimplySAVE SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,PVR Inox Kotak Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank Novio RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank Patanjali Swarn RuPay Card (RuPay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank Patanjali Vishisht RuPay Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank SalarySe Up RuPay Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank Shoprite Credit Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,RBL Bank VCard (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Reliance SBI Card (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,Reliance SBI Card Prime (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,SBI Card Elite (Rupay),,,Cred UPI,
Cred,Assured Cashback from Rs. 10-100 Using Rupay Credit Card using CRED UPI transaction on min spend of Rs. 499,,,SBI Card Miles (Rupay),,,Cred UPI,
