Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,ICAI Exclusive Bobcard (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,ICICI Bank HPCL Super Saver Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,ICICI Bank Sapphiro Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,ICSI Diamond Bobcard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IDFC First Earn RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IDFC First Power Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indian Army Yoddha Bobcard (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indian Coast Guard Rakshamah Bank of Baroda (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indian Navy Varunah Premium Bobcard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indian Overseas Bank Classic Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IndianOil Axis Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indianoil Kotak Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indianoil RBL Bank Xtra Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IndusInd Bank Platinum RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Indusind Samman RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IRCTC Bobcard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IRCTC RBL Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IRCTC SBI Card Premier (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,IRCTC SBI Card Rupay (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Ixigo AU Travel Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Karnataka Bank Simplysave SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Kotak League Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Kotak Mojo Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Miles Elite SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Myntra Kotak Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Paytm SBI Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB EMT Rupay Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB Patanjali Rupay Platinum Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB Patanjali Rupay Select Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB Rakshak Rupay Platinum Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB Rupay Millennial Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB RuPay Platinum Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PNB Rupay Select Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PSB SimplySAVE SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,PVR Inox Kotak Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank Novio RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank Patanjali Swarn RuPay Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank Patanjali Vishisht RuPay Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank SalarySe Up RuPay Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank Shoprite Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,RBL Bank VCard (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Reliance SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Reliance SBI Card Prime (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBI Card Elite (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBI Card Miles (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBM Credilio Secured Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBM Gild Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBM Kredit.Pe Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBM Paisabazaar Step-Up Credit Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SBM Rupicard Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Shaurya SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Shaurya Select SBI Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Shoppers Stop HDFC Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,SimplySave SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Snapdeal Bobcard (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,South Indian Bank Simplysave SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Swavlamban Bobcard (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Tata Neu Infinity HDFC Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Tata Neu Infinity SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Tata Neu Plus HDFC Bank Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Tata Neu Plus SBI Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,TVS Credit RBL Bank Card (RuPay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,TVS Credit RBL Bank Gold Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,UCO Bank SBI Card Elite (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,UCO Bank SimplySAVE SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,UNI Carbon Credit Card. (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Union Bank of India Rupay Select Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Union Bank Rupay Platinum Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Yatra SBI Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Yes Bank Anq Pi Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,Yes Bank Card Anq Phi Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,YES Bank Paisabazaar Paisasave Credit Card (Rupay),,,PhonePe UPI,
PhonePe,"Get Upto Rs. 500 Cashback On RuPay Credit Card via Phonepe UPI transaction of Rs. 1,500",,,YES Bank Rio Rupay Credit Card (Rupay),,,PhonePe UPI,
Mobikwik 3,"Get Upto Rs. 500 cashback On Mobikwik Wallet transaction on a min spend of Rs. 1,500",,,,,,Mobikwik UPI,
Mobikwik 2,Flat Rs. 100 Assured Cashback on first ever transaction using Mobikwik UPI on a min spend of Rs. 500,,,,,,Mobikwik UPI,
Mobikwik 1,Get Upto Rs. 250 Cashback On Mobikwik UPI transaction on a min spend of Rs. 999,,,,,,Mobikwik UPI,
