Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Additionally earn up to 8 IndiGo BluChips for every ??100 spent on hotel bookings.,,GOSTAY,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/hotel-offer-Card-web.png,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage|GOSTAY,,,,,YES
Also earn IndiGo BluChips on every hotel booking and get a free flight!,,DUBAISTAY,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Offer-tiles_Dubai.jpg,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7C%DUBAISTAY,,,,,YES
Also earn IndiGo BluChips on every hotel booking and get a free flight!,,GOGOA,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Offer-tiles_Goa.jpg,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7CGOGOA,,,,,YES
Also earn IndiGo BluChips on every hotel booking and get a free flight!,,SINGAPORESTAY,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Offer-tiles_Singapore.jpg,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7CSINGAPORESTAY,,,,,YES
Also earn IndiGo BluChips on every hotel booking and get a free flight!,,THAI,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Offer-tiles_Thailand.jpg,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7CTHAI,,,,,YES
Also earn IndiGo BluChips on every hotel booking and get a free flight!,,UKSTAY,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Offer-tiles_United-Kingdom.jpg,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7C%UKSTAY,,,,,YES
Additionally earn up to 8 IndiGo BluChips for every ??100 spent on hotel bookings.,,INDULGE,https://www.goindigo.in/content/dam/s6web/in/en/assets/offers/new_cards/Card-3-web.png,https://www.goindigo.in/hotels?linkNav=IndiGomainofferpage%7CINDULGE,,,,,YES
