Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank MagniFi Credit Card,Federal Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank MagniFi Credit Card,Federal Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank MagniFi Credit Card,Federal Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank MagniFi Credit Card,Federal RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Scapia Credit Card,Federal RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank Mastercard Signet,Federal RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Rupay Crown Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Rupay Platinum Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,RuPay PMJDY Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Visa Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Visa Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Visa Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Visa FedFirst Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Mastercard Celesta Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Mastercard Imperio Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Mastercard Crown Contactless Debit Card,,,
Flat 24% off,Hotels with Fed Bank Credit & Debit Cards.,FEDCC | FEDEMI,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/Fed-Logo.png,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,Federal Bank AmpliFi Credit Card,Federal Rupay Crown Debit Card,,,
